00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\twitter.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\common\user.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\config.sample.php
00:40:18 [DBG] (CopyFileVisitor.preVisitDirectory:47) Incoming dir: dabr\images
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\dabr.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\dm.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\dmL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\map.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\mapL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\q.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\qL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\reply.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\replyall.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\replyallL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\replyL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\retweet.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\retweeted.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\retweetedL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\retweetL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\star.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\starL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\star_grey.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\star_greyL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\trash.gif
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\trashL.png
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\images\twitter_button_2_lo.gif
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr\index.php
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: dabr-r430.zip
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: lzma920.7z
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: npp.5.9.src.7z
00:40:18 [INF] (CopyFileVisitor.visitFile:64) Copying entry: winter.m4a
00:40:18 [INF] (Synchronizer.sync:64) Sync finished (282 milliseconds)
00:42:12 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 00:42:12 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:42:15 [INF] (Synchronizer.sync:58) Syncing... (FROM: D:\zsyncsource TO: D:\zsynctarget)
00:42:15 [INF] (CopyFileVisitor.<init>:41) Source dir: D:\zsyncsource Target dir: D:\zsynctarget
00:42:15 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: 
00:42:15 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\.htaccess
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\.project
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\about.html
00:42:15 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr\browsers
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\bigtouch.css
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\bigtouch.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\blackberry.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\desktop.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\list.csv
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\text.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\touch.css
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\touch.js
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\touch.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\worksafe.php
00:42:15 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr\common
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\advert.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Autolink.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\browser.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Embedly.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Extractor.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\HitHighlighter.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\lists.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\menu.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\OAuth.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Regex.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\settings.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\theme.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\twitter.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\user.php
00:42:15 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\config.sample.php
00:42:15 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr\images
